"GenusSpecies","degree","proportional.generality","d","r.degree","MeanITD"
"Ammi visnaga",16,0.639444490732541,0.110292801995022,20.5,NA
"Amsinckia intermedia",2,0.177490268787634,0.818231493930434,3,NA
"Anagallis arvensis",3,0.196778797649774,0.134094480801319,4,NA
"Anthemis cotula",13,0.447539655554291,0.10539879414258,22,NA
"Artemesia sp.",1,0.0887451343938172,0.0148661464269608,1,NA
"Artemisia douglasii",2,0.16771779434778,0.165892195674313,2.5,NA
"Asclepias curassavica",1,0.0887451343938172,0.285031172785289,1,NA
"Asclepias eriocarpa",2,0.16771779434778,0.11501991154543,2.5,NA
"Asclepias fascicularis",10,0.433974896607119,0.161007804272576,10.4,NA
"Aster chilensis",3,0.266235403181452,0.14277683314587,6,NA
"Atriplex lentiformis",4,0.206719889433941,0.236684758969224,4,NA
"Baccharis salicifolia",10,0.8047679862473,0.313656534348494,42,NA
"Brassica sp.",69,0.591130639021125,0.102421599289634,93.0454545454545,NA
"Brodiaea elegans",2,0.16771779434778,0.308516631494084,2.5,NA
"Buddleja davidii",6,0.43132521006607,0.344321583259028,16,NA
"Calendula officinalis",10,0.628018871115097,0.120764057968946,19,NA
"Capsella bursa-pastoris",2,0.155726886868906,0.0316867427848567,2,NA
"Carduus pycnocephalus",22,0.895857578417139,0.175164607101469,46,NA
"Ceanothus cuneatus",1,0.0887451343938172,0.584964173390185,1,NA
"Ceanothus hearstiorum",4,0.335435588695559,0.368326946763228,5,NA
"Ceanothus sp.",14,1.04731763172208,0.321568441669473,20.25,NA
"Centaurea cyanus",2,0.155726886868906,0.352885987260555,2,NA
"Centaurea solstitialis",29,0.804675109907177,0.154239016292081,44.125,NA
"Centromadia parryi",2,0.114788033846361,0.106084275339814,2,NA
"Centromadia pungens",1,0.0887451343938172,0.0821512901302521,1,NA
"Centromedia pungens",2,0.177490268787634,0.0684079490469727,3,NA
"Chamaesyce maculata",2,0.155726886868906,0.0236237589589937,2,NA
"Chamomila officinalis",1,0.0887451343938172,0.304741520931727,1,NA
"Chenopodium album",4,0.176417212564466,0.181374075746573,4.5,NA
"Chrysanthemum sp.",1,0.0887451343938172,0.304741520931727,1,NA
"Cirsium arvensis",1,0.0887451343938172,0.0148661464269608,1,NA
"Cirsium vulgare",6,0.407677326935561,0.163947442920238,8.25,NA
"Cistus purpureus",1,0.0887451343938172,0.0890096673946611,1,NA
"Cistus skanbergii",4,0.335435588695559,0.126445673585808,5,NA
"Clarkia purpurea",2,0.177490268787634,0,3,NA
"Clarkia unguiculata",1,0.0887451343938172,0.0821512901302521,1,NA
"Clarkia williamsonii",4,0.249356273387183,0.0593113289588763,4.5,NA
"Convolvulus arvensis",43,0.347010681904169,0.177417131937299,67.0833333333333,NA
"Coriandrum sativum",1,0.0887451343938172,0,1,NA
"Croton setigerus",9,0.330415262483525,0.0545405633817233,21.5,NA
"Cucurbita pepo",1,0.0887451343938172,0.904631174393332,1,NA
"Datura wrightii",5,0.29565950210321,0.0567576784133205,6,NA
"Daucus carota",2,0.177490268787634,0.143582848215631,3,NA
"Dipsacus fullonum",4,0.335435588695559,0.330001001778752,5,NA
"Downingia sp.",1,0.0887451343938172,0.385053213441443,1,NA
"Echinacea purpurea",4,0.307422163389239,0.470753466840208,7,NA
"Epilobium campestre",4,0.290959584592612,0.490976519163443,4,NA
"Epilobium canum",4,0.335435588695559,0.312218605992948,5,NA
"Eremocarpus setigerus",5,0.308191802407007,0.0788946184352429,6,NA
"Erigeron bonariensis",2,0.16771779434778,0.203986978703388,2.5,NA
"Erigeron canadensis",3,0.266235403181452,0,6,NA
"Erigeron sp.",1,0.0887451343938172,0.0148661464269608,1,NA
"Eriodictyon californica",6,0.47023404392131,0.721739899128875,16,NA
"Eriogonum fasciculatum",56,1.40988365269745,0.34674292396205,122.666666666667,NA
"Eriophyllum lanatum",2,0.139258206687125,0.900176978069579,2,NA
"Erodium cicutarium",6,0.352503607976295,0.170145079165291,12,NA
"Eschscholzia californica",21,0.538997496091205,0.146283424535783,33.25,NA
"Euphorbia peplus",2,0.16771779434778,0.13740318418596,2,NA
"Foeniculum vulgare",6,0.231391084268964,0.184900389739374,7,NA
"Frangula californica",17,0.808823361035237,0.190598831004954,33.6666666666667,NA
"Frangula tomentella",9,0.664010068753822,0.466398846411527,9.1,NA
"Fremontodendron californica",9,0.68711875381116,0.444819493764727,15.25,NA
"Geranium dissectum",2,0.177490268787634,0.753627685514956,3,NA
"Grindelia camporum",29,0.455183896370593,0.177007169479872,44.125,NA
"Grindelia hirsutula",24,0.604201724334453,0.237468865613284,60,NA
"Helenium puberulum",2,0.133738302152534,0.187558655593326,2,NA
"Helianthus annuus",9,0.723366487635002,0.278660869937797,18,NA
"Heliotropium curassavicum",14,0.817332259754467,0.398922984891534,14.5,NA
"Heteromeles arbutifolia",34,0.678666835869709,0.122582423583053,52.75,NA
"Hirschfeldia incana",1,0.0887451343938172,0.757255063579814,1,NA
"Holodiscus discolor",1,0.0887451343938172,0.0148661464269608,1,NA
"Kickxia elatine",2,0.16771779434778,0.0143532331964424,2.5,NA
"Lactuca serriola",10,0.49943953072124,0.118166203999919,13,NA
"Lavandula officinalis",14,0.456438618585713,0.623926438396699,26.5,NA
"Layia sp.",2,0.16771779434778,0.572694068103034,2.5,NA
"Lepidium latifolium",22,0.600977687293891,0.0628407919544356,27.3333333333333,NA
"Linum perenne",1,0.0887451343938172,0.731206258604713,1,NA
"Lobularia maritima",2,0.125788345760835,0.0786895518051015,2,NA
"Lotus corniculatus",18,1.00350794486742,0.498592989176338,33,NA
"Lotus purshianus",4,0.299064197310965,0.518284774368141,5,NA
"Lupinus sp.",11,0.749963040677088,0.397073145293855,20,NA
"Lythrum californicum",1,0.0887451343938172,0,1,NA
"Malva neglecta",15,0.788028349929993,0.125678338026354,21.125,NA
"Malva parviflora",6,0.483722375251736,0.195875391614721,8.25,NA
"Malvella leprosa",7,0.540381714414476,0.283249667533633,11.5,NA
"Marrubium vulgare",27,1.59845310587149,0.29767674854969,41.0833333333333,NA
"Medicago orbicularis",2,0.177490268787634,0.197444050959602,3,NA
"Medicago polymorpha",7,0.425323404968798,0.067816722284999,19.5,NA
"Medicago sativa",9,0.358595573903384,0.0616407389038375,27,NA
"Melilotus alba",4,0.26318151896358,0.269388884275631,4.5,NA
"Melilotus officinalis",12,0.191572152451488,0.180192903787495,21,NA
"Mentzelia laevicaulis",1,0.0887451343938172,0.619664019824308,1,NA
"Mimulus aurantiacus",2,0.177490268787634,0.789271453322334,3,NA
"Monardella odoratissima",1,0.0887451343938172,0.676340084773085,1,NA
"Navarretia intertexta",1,0.0887451343938172,0.0890096673946611,1,NA
"Origanum sp.",4,0.354980537575269,0.375723704796349,10,NA
"Pedicularis densiflora",1,0.0887451343938172,0,1,NA
"Penstemon sp.",7,0.555651096726927,0.583082521922691,19.5,NA
"Phacelia californica",21,1.12785637050725,0.481426139921115,22.3333333333333,NA
"Phacelia ciliata",16,0.751777504834419,0.41531637538303,20.9,NA
"Phacelia tanacetifolia",20,1.03251540746783,0.217123280655146,30,NA
"Physalis philadelphica",1,0.0887451343938172,0.391231143774537,1,NA
"Picris echioides",32,0.558342078848142,0.0799570885080293,38.75,NA
"Plantago lanceolata",3,0.111551832448973,0.167459138079261,4,NA
"Plantago major",2,0.133738302152534,0.0528846828075642,2,NA
"Polygonum arenastrum",5,0.274469017356643,0.0865803528437584,5.25,NA
"Polygonum aviculare",4,0.242537426821401,0.19846743160013,5,NA
"Polygonum lapathifolium",2,0.16771779434778,0.0620131045038142,2.5,NA
"Portulaca oleracea",5,0.322043853303057,0.101972429814434,6,NA
"Proboscidea lutea",1,0.0887451343938172,0.285031172785289,1,NA
"Prunus ilicifolia",13,0.904135399492657,0.472029195985123,53.5,NA
"Punica granatum",1,0.0887451343938172,0,1,NA
"Raphanus raphanistrum",13,0.362058223822058,0.0794149204495991,25.25,NA
