"","Site","Year","riparianForest350","riparianScrub350","natural350","riparianForest1000","riparianScrub1000","natural1000","riparianForest2500","riparianScrub2500","natural2500"
"12401","USS",2014,12024.2953511556,24695.6108920013,36719.9062431569,60328.781771835,171242.903456724,231571.685228559,76314.8523056175,233093.816733403,309408.66903902
"12522","Chamberlain",2014,2513.85204900835,1045.23312588439,3559.08517489274,11273.9212869741,13938.170690184,25212.0919771581,15375.2234744661,20868.8184397352,36244.0419142013
"12583","Butler",2015,0,0,0,0,0,0,0,0,0
"12587","DQU",2015,0,0,0,0,0,0,0,0,0
"12589","Hrdy",2015,2.69259758446531,0,2.69259758446531,312.219164919096,0,312.219164919096,545.16531168889,0,545.16531168889
"12608","Gregory",2015,0,722.783058146278,722.783058146278,0,20770.8110398836,20770.8110398836,0,32530.4281547852,32530.4281547852
"12614","Turkovich",2015,94107.8337965697,2248.6591355165,96356.4929320862,214818.787181235,24022.2587607693,238841.045942004,258851.893428296,34897.2905790423,293749.184007338
"12657","PutahCreek",2015,272.05249562413,8.67114493677346,280.723640560903,6350.4440506356,1005.45942946371,7355.90348009931,9594.72882172156,1755.63086717036,11350.3596888919
"12658","Barger",2015,14.2764578137721,295.112832927471,309.389290741243,1655.42142737373,1548.64649767166,3204.06792504539,2890.5283205934,1881.24463035989,4771.77295095329
"12667","MC1",2015,68.8073058004728,0,68.8073058004728,3565.18869847434,0,3565.18869847434,5963.51313590404,0,5963.51313590404
"12678","MullerB",2015,0,2989.69387600343,2989.69387600343,0,8808.58837930482,8808.58837930482,0,10629.2635890986,10629.2635890986
"12686","H16",2015,25.1136653300133,342.642205602255,367.755870932268,2912.04584845211,13220.7480178153,16132.7938662674,5084.71791933436,21512.9966821981,26597.7146015324
"12702","Sperandio",2015,5300.70166666106,544680.692682588,549981.39434925,34140.4300250269,2123108.26327544,2157248.69330046,47995.7892858219,2889096.53957642,2937092.32886224
"12704","Gilmer",2015,8021.88031231399,557.826088696428,8579.70640101042,48944.4237961037,29873.3190956656,78817.7428917693,74722.2327180913,50097.9926260021,124820.225344093
"12716","Rominger",2015,0,1948.10494979936,1948.10494979936,0,5250.20587717979,5250.20587717979,0,5901.99574231793,5901.99574231793
"12802","Berm",2015,0,0,0,0,0,0,0,0,0
"12919","Chamberlain",2015,2513.85204900835,1045.23312588439,3559.08517489274,11273.9212869741,13938.170690184,25212.0919771581,15375.2234744661,20868.8184397352,36244.0419142013
