"","Site","Year","riparianForest350","riparianScrub350","natural350","riparianForest1000","riparianScrub1000","natural1000","riparianForest2500","riparianScrub2500","natural2500"
"7616","Chamberlain",2013,2513.85204900835,1045.23312588439,3559.08517489274,11273.9212869741,13938.170690184,25212.0919771581,15375.2234744661,20868.8184397352,36244.0419142013
"7744","Maria",2013,0,8655.13812901198,8655.13812901198,0,12869.6045328717,12869.6045328717,0,13721.8289963033,13721.8289963033
"8068","Zamora",2013,282.182629928042,11813.8318681309,12096.014498059,32720.3833127938,49029.8670520557,81750.2503648495,57133.001338728,59353.5675367146,116486.568875443
"8133","Butler",2013,0,0,0,0,0,0,0,0,0
"8245","CR29",2013,0,7892.59375516003,7892.59375516003,0,83066.9057588912,83066.9057588912,0,117893.350551851,117893.350551851
"8300","Harlan",2013,31112.151854128,29503.6372433431,60615.7890974712,162169.882016685,357543.499007115,519713.3810238,237703.168266819,531385.51606294,769088.684329759
"8595","MullerM",2013,6880.06006137181,0,6880.06006137181,49981.8956390478,0,49981.8956390478,70190.6226205979,0,70190.6226205979
"8738","H16",2013,25.1136653300133,342.642205602255,367.755870932268,2912.04584845211,13220.7480178153,16132.7938662674,5084.71791933436,21512.9966821981,26597.7146015324
"8984","Hatanaka",2013,46155.4534625414,26045.2825009003,72200.7359634417,276015.776379546,289685.021944712,565700.798324258,414692.42641194,461982.049868091,876674.476280032
"9022","CircleG",2013,0,1224.07863110911,1224.07863110911,0,4953.19111538985,4953.19111538985,0,5934.77010634918,5934.77010634918
"9667","MC1",2013,68.8073058004728,0,68.8073058004728,3565.18869847434,0,3565.18869847434,5963.51313590404,0,5963.51313590404
"11312","Fong",2014,1631.32990498478,803.784469246821,2435.1143742316,11524.6041955213,18856.28472101,30380.8889165313,16068.0284435523,29420.0697618468,45488.0982053991
"11314","Barger",2014,14.2764578137721,295.112832927471,309.389290741243,1655.42142737373,1548.64649767166,3204.06792504539,2890.5283205934,1881.24463035989,4771.77295095329
"11334","Butler",2014,0,0,0,0,0,0,0,0,0
"11340","Harlan",2014,31112.151854128,29503.6372433431,60615.7890974712,162169.882016685,357543.499007115,519713.3810238,237703.168266819,531385.51606294,769088.684329759
"11342","PutahCreek",2014,272.05249562413,8.67114493677346,280.723640560903,6350.4440506356,1005.45942946371,7355.90348009931,9594.72882172156,1755.63086717036,11350.3596888919
"11353","Rominger",2014,0,1948.10494979936,1948.10494979936,0,5250.20587717979,5250.20587717979,0,5901.99574231793,5901.99574231793
"11356","Best",2014,0,10.7489732093071,10.7489732093071,0,1246.39324439342,1246.39324439342,0,2176.32495988111,2176.32495988111
"11357","Loop",2014,0,6807.61419968432,6807.61419968432,0,189491.721899099,189491.721899099,0,316910.021279131,316910.021279131
"11359","FongWest",2014,28.8348486871372,8423.04419288217,8451.8790415693,3343.53429922364,11508.0778921591,14851.6121913827,5838.13911247594,12077.5615387482,17915.7006512241
